Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints,Model Feature,Model Output,Column Alias,OHE,Value Encoding,Missing Data Remap?,Remap Value,Fill Zeros,Numeric
SDMVPSU,Masked variance unit pseudo-PSU variable for variance estimation,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
SDMVSTRA,Masked variance unit pseudo-stratum variable for variance estimation,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
SEQN,Respondent sequence number.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
SIAINTRP,Was an interpreter used to conduct the Sample Person (SP) interview?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
SIALANG,Language of the Sample Person Interview Instrument,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
SIAPROXY,Was a Proxy respondent used in conducting the Sample Person (SP) interview?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
WTINT2YR,Full sample 2 year interview weight.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,TRUE,,2_year_interview_weight,,,,,,TRUE
WTMEC2YR,Full sample 2 year MEC exam weight.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,TRUE,,2_year_mec_exam_weight,,,,,,TRUE
BPAARM,Arm selected:,BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BPACSZ,Cuff size (cm) (width X length),BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BPAEN1,Enhancement used first reading,BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BPAEN2,Enhancement used second reading,BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BPAEN3,Enhancement used third reading,BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BPAEN4,Enhancement used fourth reading,BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BPXCHR,60 sec HR (30 sec HR * 2),BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BPXDI1,Diastolic: Blood pressure (first reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,,TRUE,,diastolic_bp_1,,,,,,TRUE
BPXDI2,Diastolic: Blood pressure (second reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,,TRUE,,diastolic_bp_2,,,,,,TRUE
BPXDI3,Diastolic: Blood pressure (third reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,,TRUE,,diastolic_bp_3,,,,,,TRUE
BPXDI4,Diastolic: Blood pressure (fourth reading if necessary) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BPXML1,MIL: maximum inflation levels (mm Hg),BPX_J,Blood Pressure ,2017,2018,Examination,,TRUE,,mil,,,,,,TRUE
BPXPLS,60 sec. pulse (30 sec. pulse * 2),BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BPXPTY,Pulse type,BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BPXPULS,Pulse regular or irregular?,BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BPXSY1,Systolic: Blood pressure (first reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,,TRUE,,systolic_bp_1,,,,,,TRUE
BPXSY2,Systolic: Blood pressure (second reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,,TRUE,,systolic_bp_2,,,,,,TRUE
BPXSY3,Systolic: Blood pressure (third reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,,TRUE,,systolic_bp_3,,,,,,TRUE
BPXSY4,Systolic: Blood pressure (fourth reading if necessary) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
PEASCCT1,Blood Pressure Comment,BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
SEQN,Respondent sequence number.,BPX_J,Blood Pressure ,2017,2018,Examination,,,,,,,,,,
BMDSTATS,Body Measures Component status Code,BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMIARMC,Arm Circumference Comment,BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMIARML,Upper Arm Length Comment,BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMIHEAD,Head Circumference Comment,BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMIHIP,Hip Circumference Comment,BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMIHT,Standing Height Comment,BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMILEG,Upper Leg Length Comment,BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMIRECUM,Recumbent Length Comment,BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMIWAIST,Waist Circumference Comment,BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMIWT,Weight Comment,BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMXARMC,Arm Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMXARML,Upper Arm Length (cm),BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMXBMI,Body Mass Index (kg/m**2),BMX_J,Body Measures,2017,2018,Examination,,TRUE,,bmi,,,,,,TRUE
BMXHEAD,Head Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMXHIP,Hip Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMXHT,Standing Height (cm),BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMXLEG,Upper Leg Length (cm),BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMXRECUM,Recumbent Length (cm),BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMXWAIST,Waist Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
BMXWT,Weight (kg),BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
SEQN,Respondent sequence number.,BMX_J,Body Measures,2017,2018,Examination,,,,,,,,,,
OHDDESTS,Dentition Status Code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHDEXSTS,Overall Oral Health Exam Status,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX01TC,Tooth Count: Upper right 3rd molar (3M),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX02CSC,"Coronal Caries: Upper right 2nd molar (2M) surface calls. These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX02CTC,Coronal Caries: Upper right 2nd molar (2M) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX02RSC,"Coronal Caries: Secondary restoration surface call - Upper right 2nd molar (2M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX02RTC,Coronal Caries: Second restoration present - Upper right 2nd molar (2M),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX02SE,"Dental Sealants: Upper right 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX02TC,Tooth Count: Upper right 2nd molar (2M),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX03CSC,"Coronal Caries: Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX03CTC,Coronal Caries: Upper right 1st molar (1M) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX03RSC,"Coronal Caries: Secondary restoration surface call - Upper right 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX03RTC,Coronal Caries: Second restoration present - Upper right 1st molar (1M),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX03SE,"Dental Sealants: Upper right 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX03TC,Tooth Count: Upper right 1st molar (1M),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX04CSC,"Coronal Caries: Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX04CTC,Coronal Caries: Upper right 2nd bicuspid/2nd primary molar (2B) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX04RSC,"Coronal Caries: Secondary restoration surface call - Upper right 2nd bicuspid/2nd primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX04RTC,Coronal Caries: Second restoration present - Upper right 2nd bicuspid/2nd primary molar (2B),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX04SE,"Dental Sealants: Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX04TC,Tooth Count: Upper right 2nd bicuspid/2nd primary molar (2B),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX05CSC,"Coronal Caries: Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX05CTC,Coronal Caries: Upper right 1st bicuspid/1st primary molar (1B) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX05RSC,"Coronal Caries: Secondary restoration surface call - Upper right 1st bicuspid/1st primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX05RTC,Coronal Caries: Second restoration present - Upper right 1st bicuspid/1st primary molar (1B),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX05SE,"Dental Sealants: Upper right 1st biscuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX05TC,Tooth Count: Upper right 1st bicuspid/1st primary molar (1B),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX06CSC,"Coronal Caries: Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX06CTC,Coronal Caries: Upper right cuspid (C) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX06RSC,"Coronal Caries: Secondary restoration surface call - Upper right cuspid (C). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX06RTC,Coronal Caries: Second restoration present - Upper right cuspid (C),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX06TC,Tooth Count: Upper right cuspid (C),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX07CSC,"Coronal Caries: Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX07CTC,Coronal Caries: Upper right lateral incisor (LI) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX07RSC,"Coronal Caries: Secondary restoration surface call - Upper right lateral incisor (LI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX07RTC,Coronal Caries: Second restoration present - Upper right lateral incisor (LI),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX07SE,"Dental Sealants: Upper right lateral incisor (LI) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX07TC,Tooth Count: Upper right lateral incisor (LI),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX08CSC,"Coronal Caries: Upper right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX08CTC,Coronal Caries: Upper right central incisor (CI) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX08RSC,"Coronal Caries: Secondary restoration surface call - Upper right central incisor (CI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX08RTC,Coronal Caries: Second restoration present - Upper right central incisor (CI),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX08TC,Tooth Count: Upper right central incisor (CI),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX09CSC,"Coronal Caries: Upper left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX09CTC,Coronal Caries: Upper left central incisor (CI) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX09RSC,"Coronal Caries: Secondary restoration surface call - Upper left central incisor (CI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX09RTC,Coronal Caries: Second restoration present - Upper left central incisor (CI),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX09TC,Tooth Count: Upper left central incisor (CI),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX10CSC,"Coronal Caries: Upper left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX10CTC,Coronal Caries: Upper left lateral incisor (LI) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX10RSC,"Coronal Caries: Secondary restoration surface call - Upper left lateral incisor (LI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX10RTC,Coronal Caries: Second restoration present - Upper left lateral incisor (LI),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX10SE,"Dental Sealants: Upper left lateral incisor (LI) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX10TC,Tooth Count: Upper left lateral incisor (LI),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX11CSC,"Coronal Caries: Upper left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX11CTC,Coronal Caries: Upper left cuspid (C) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX11RSC,"Coronal Caries: Secondary restoration surface call - Upper left cuspid (C). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX11RTC,Coronal Caries: Second restoration present - Upper left cuspid (C),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX11TC,Tooth Count: Upper left cuspid (C),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX12CSC,"Coronal Caries: Upper left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX12CTC,Coronal Caries: Upper left 1st bicuspid/1st primary molar (1B) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX12RSC,"Coronal Caries: Secondary restoration surface call - Upper left 1st bicuspid/1st primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX12RTC,Coronal Caries: Second restoration present - Upper left 1st bicuspid/1st primary molar (1B),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX12SE,"Dental Sealants: Upper left 1st biscuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX12TC,Tooth Count: Upper left 1st bicuspid/1st primary molar (1B),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX13CSC,"Coronal Caries: Upper left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX13CTC,Coronal Caries: Upper left 2nd bicuspid/2nd primary molar (2B) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX13RSC,"Coronal Caries: Secondary restoration surface call - Upper left 2nd bicuspid/1st primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX13RTC,Coronal Caries: Second restoration present - Upper left 2nd bicuspid/1st primary molar (2B),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX13SE,"Dental Sealants: Upper left 2nd bicuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX13TC,Tooth Count: Upper left 2nd bicuspid/2nd primary molar (2B),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX14CSC,"Coronal Caries: Upper left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX14CTC,Coronal Caries: Upper left 1st molar (1M) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX14RSC,"Coronal Caries: Secondary restoration surface call - Upper left 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX14RTC,Coronal Caries: Second restoration present - Upper left 1st molar (1M),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX14SE,"Dental Sealants: Upper left 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX14TC,Tooth Count: Upper left 1st molar (1M),OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX15CSC,"Coronal Caries: Upper left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
OHX15CTC,Coronal Caries: Upper left 2nd molar (2M) tooth code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,,,,,,,,,,
